,actin filament,alternative oxidase activity,ammonium transmembrane transport,aspartic-type endopeptidase activity,ATP:ADP antiporter activity,ATPase activity,beta-galactosidase activity,chitinase activity,cinnamyl-alcohol dehydrogenase activity,cysteine-type peptidase activity,fructose-bisphosphate aldolase activity,glutathione transferase activity,lipase activity,lipid transport,peroxidase activity,phosphatase activity,phospholipase activity,polygalacturonase activity,protein homodimerization activity,ribonuclease activity,serine-type carboxypeptidase activity,thioglucosidase activity,water channel activity,heat shock protein activity,None of the Above,Total Carnivorous,Class
S. alata,0,0,0.511247444,46.96172948,0,12.6351154,0.073035349,0.219106047,0,1.67981303,0.146070698,0.219106047,0.073035349,0.219106047,1.168565586,1.314636284,0,0.292141396,1.533742331,0.438212095,0.292141396,0.146070698,0,0.292141396,931.8580193,68.14198072,Carnivorous
G. aurea,0.226363842,0.150909228,0.301818456,2.037274579,0.226363842,4.829095299,1.207273825,0.603636912,0.452727684,1.358183053,0.679091526,0.528182298,0.528182298,3.244548404,3.621821474,0.528182298,0.528182298,2.037274579,5.432732212,0.301818456,1.584546895,0.150909228,0.75454614,0.679091526,968.0072436,31.99275636,Carnivorous
D. capensis,0,0.367292594,0.96414306,31.86263257,0.367292594,13.63573757,0.550938892,0.596850466,0.045911574,5.050273174,0.275469446,0.32138102,0.32138102,1.377347229,3.94839539,2.66287131,0.091823149,1.606905101,2.157843992,0.459115743,0.780496763,0.413204169,0.32138102,0.183646297,931.729489,68.270511,Carnivorous
U. gibba,0.151480724,0.302961448,1.666287965,8.710141634,0.227221086,15.07233205,0.681663258,0.454442172,0.227221086,5.074604257,0.530182534,0,0.454442172,0.908884344,5.604786791,2.499431947,0.454442172,3.105354844,2.044989775,0.37870181,0.984624707,0,0.605922896,0.454442172,949.7083996,50.29160039,Carnivorous
C. follicularis,0.193861066,0.258481422,0.323101777,6.138933764,0.387722132,11.17932149,1.680129241,0.775444265,0.064620355,2.520193861,0.387722132,1.421647819,1.098546042,3.037156704,6.20355412,2.778675283,0.452342488,2.584814216,3.360258481,0.452342488,2.843295638,0.71082391,0.969305331,0.516962843,949.7253635,50.27463651,Carnivorous
A. thaliana,0.404322576,0.220539587,0.294052782,0.624862163,0.183782989,6.910240388,0.698375358,0.551348967,0.624862163,2.35242226,0.33080938,1.690803499,2.315665662,5.36646328,4.153495552,1.139454532,0.404322576,2.609718444,5.182680291,0.918914945,2.02161288,0.294052782,1.433507315,0.588105565,958.6120709,41.38792913,Non-
O. sativa,0.540165136,0,0.694498032,0.540165136,0.154332896,9.337140211,1.080330272,1.311829616,0,4.089821746,0.462998688,0.077166448,0.462998688,1.929161201,10.49463693,0.694498032,0,2.392159889,0.540165136,0.540165136,2.700825681,0,0,0,961.9569411,38.04305888,Non-
B. hygrometricum,0,0,0.722608617,5.69054286,0,10.83912926,0.090326077,1.174239003,0,2.980760546,0.541956463,0,0.090326077,2.077499774,5.600216783,1.535543311,0,3.703369163,0.270978231,0.63228254,2.438804083,0,0,0.903260771,960.7081564,39.29184356,Non-
G. soja,0,0,0.462891529,6.210461349,0.154297176,9.875019287,0.077148588,0.84863447,0,3.973152291,0.617188705,0.038574294,0.578614411,1.50439747,8.602067582,2.005863293,0,4.050300879,0.270020059,0.270020059,3.20166641,0,0,0.540040117,956.719642,43.28035797,Non-
O. tenuiflorum,0,0.119810699,0.179716049,38.45923441,0.239621398,14.73671599,0.419337447,0.838674894,0.179716049,4.193374468,0.119810699,0.838674894,0.119810699,0.179716049,1.737255137,1.437728389,0.05990535,1.677349787,1.797160486,0.299526748,0.539148146,0.05990535,0,0.299526748,931.5281855,68.47181453,Non-
A. chinensis,0.026126032,0.104504128,1.123419375,38.92778765,0.13063016,14.52607378,0.287386352,0.731528895,0.052252064,2.926115582,0.287386352,0.52252064,0.313512384,0.496394608,2.168460654,1.672066047,0,1.672066047,1.750444143,0.313512384,0.496394608,0.235134288,0.235134288,0.287386352,930.9227714,69.07722855,Non-
